epoch,G_loss,C_loss
0,0.016855645924806595,-0.0474935919046402
1,0.013454646803438663,-0.027509033679962158
2,-0.004740907810628414,-0.023314964026212692
3,0.009703543968498707,-0.028886519372463226
4,0.01237071305513382,-0.028343752026557922
5,0.0016249770997092128,-0.02453925833106041
6,0.00425773486495018,-0.02374599501490593
7,0.0019314158707857132,-0.020054081454873085
8,0.012457991018891335,-0.018324146047234535
9,-0.0006182726938277483,-0.030560331419110298
10,0.006992877461016178,-0.02860608696937561
11,0.0001030988059937954,-0.017228389158844948
12,0.00032670190557837486,-0.011609280481934547
13,0.005744700785726309,-0.022328490391373634
14,0.013747863471508026,-0.026240713894367218
15,-0.013753046281635761,-0.022587601095438004
16,-0.0024450146593153477,-0.027447354048490524
17,-0.00485985679551959,-0.019088681787252426
18,0.005503491498529911,-0.015112138353288174
19,0.007982902228832245,-0.020998015999794006
20,0.004754940047860146,-0.022240467369556427
21,0.005571957677602768,-0.013280307874083519
22,-0.005330774933099747,-0.014419222250580788
23,0.005335317924618721,-0.015733789652585983
24,0.017452389001846313,-0.015922989696264267
25,0.0036597526632249355,-0.014963061548769474
26,0.0045595960691571236,-0.016257358714938164
27,0.001311655854806304,-0.009825277142226696
28,-0.00777497049421072,-0.0059179868549108505
29,-0.0010621660621836782,-0.012587761506438255
